Farm,plot_no,plot_area,crop_no,crop_name
01,1,0.5,1,maize
01,2,0.5,1,maize
01,1,1.0,1,maize
01,2,1.5,1,tomatoes
01,3,1.0,1,vegetable
03,1,1.0,1,maize
04,1,1.0,1,maize
04,2,1.0,1,maize
04,3,1.0,1,sorghum
05,1,1.5,1,maize
05,2,0.5,1,maize
6,1,1.5,1,maize
7,1,2.0,1,maize
7,2,1.0,1,tomatoes
7,3,1.0,1,beans
7,4,1.0,1,vegetable
08,1,1.0,1,maize
08,2,2.0,1,maize
9,1,1.5,1,maize
9,2,1.0,1,tomatoes
9,3,1.0,1,vegetable
10,1,3.0,1,maize
10,2,1.5,1,tomatoes
11,1,1.0,1,maize
11,2,1.0,1,maize
12,1,3.5,1,maize
12,2,1.5,1,tomatoes
13,1,12.0,1,maize
13,2,1.0,1,beans
13,3,1.0,1,vegetable
13,4,1.0,1,onion
14,1,1.0,1,maize
14,2,1.0,1,maize
14,3,1.0,1,maize
15,1,15.0,1,maize
15,2,1.0,1,beans
15,3,0.5,1,ngogwe
16,1,3.5,1,maize
17,1,1.0,1,maize
17,2,0.3,1,vegetable
17,3,0.3,1,other
18,1,1.0,1,maize
18,2,0.5,1,pigeonpeas
19,1,5.5,1,maize
19,2,1.0,1,beans
20,1,1.5,1,maize
20,2,0.5,1,beans
21,1,1.0,1,maize
21,2,1.0,1,vegetable
21,3,1.0,1,tomatoes
21,4,1.0,1,cabbage
22,1,3.0,1,maize
23,1,10.0,1,maize
23,2,1.0,1,amendoim
24,1,2.0,1,maize
24,2,2.0,1,tomatoes
24,3,0.5,1,peanut
25,1,6.0,1,maize
25,2,1.0,1,tomatoes
25,3,1.0,1,cabbage
26,1,5.0,1,maize
26,2,1.0,1,beans
27,1,4.0,1,maize
27,2,1.0,1,beans
28,1,1.0,1,maize
28,2,0.5,1,tomatoes
28,3,0.5,1,vegetable
29,1,1.5,1,maize
29,2,0.2,1,tomatoes
29,3,0.5,1,beans
30,1,5.0,1,maize
31,1,1.0,1,maize
32,1,10.0,1,maize
32,2,3.0,1,sorghum
32,3,0.5,1,sunflower
32,4,1.0,1,peanut
32,5,0.5,1,tomatoes
32,6,0.3,1,onion
32,7,0.2,1,cabbage
32,8,0.5,1,vegetable
33,1,4.0,1,maize
33,2,2.0,1,tomatoes
34,1,1.0,1,tomatoes
34,2,1.5,1,maize
35,1,1.0,1,tomatoes
35,2,4.0,1,maize
36,1,1.0,1,maize
36,2,2.0,1,tomatoes
36,3,1.0,1,vegetable
37,1,1.0,1,maize
38,1,0.5,1,maize
38,2,1.0,1,tomatoes
39,1,7.0,1,maize
40,1,4.0,1,maize
40,2,2.0,1,tomatoes
41,1,5.0,1,maize
42,1,0.5,1,maize
42,2,0.5,1,other
43,1,5.0,1,maize
43,2,1.0,1,amendoim
43,2,1.0,2,
43,3,1.0,1,vegetable
43,4,1.0,1,tomatoes
43,4,1.0,2,peanut
44,1,1.5,1,maize
45,1,1.5,1,maize
45,2,1.0,1,tomatoes
45,3,1.0,1,beans
46,1,2.0,1,maize
46,2,2.0,1,tomatoes
46,3,1.0,1,vegetable
46,4,1.0,1,onion
46,5,0.5,1,beans
47,1,2.5,1,maize
47,2,0.5,1,tomatoes
48,1,3.5,1,maize
48,1,3.5,2,sorghum
49,1,3.0,1,maize
49,1,3.0,2,sorghum
50,1,0.5,1,maize
50,1,0.5,2,tomatoes
50,1,0.5,3,piri_piri
51,1,1.0,1,maize
52,1,2.0,1,maize
21,1,5.0,1,maize
21,2,1.0,1,beans
21,2,1.0,2,tomatoes
21,2,1.0,3,cabbage
21,2,1.0,4,vegetable
21,3,1.0,1,maize
54,1,1.0,1,maize
54,1,1.0,2,tomatoes
55,1,9.0,1,maize
56,1,5.5,1,maize
56,2,1.0,1,tomatoes
57,1,1.0,1,maize
57,2,0.5,1,other
58,1,3.0,1,beans
58,2,0.5,1,other
58,3,10.0,1,maize
59,1,0.5,1,maize
59,1,0.5,2,other
59,2,1.0,1,maize
60,1,2.0,1,maize
60,2,1.0,1,tomatoes
60,3,1.0,1,peanut
61,1,2.0,1,tomatoes
61,1,2.0,2,onion
61,1,2.0,3,cabbage
61,1,2.0,4,vegetable
61,1,2.0,5,piri_piri
61,2,6.0,1,maize
62,1,0.5,1,maize
62,2,0.5,1,sorghum
63,1,1.5,1,maize
63,1,1.5,2,sesame
64,1,2.0,1,maize
64,2,0.5,1,sesame
65,1,2.0,1,maize
65,2,1.0,1,tomatoes
66,1,8.0,1,beans
66,1,8.0,2,tomatoes
66,1,8.0,3,onion
66,1,8.0,4,vegetable
67,1,6.0,1,maize
67,1,6.0,2,tomatoes
67,1,6.0,3,vegetable
68,1,1.5,1,maize
68,2,1.5,1,piri_piri
68,3,2.0,1,maize
69,1,3.0,1,maize
69,1,3.0,2,tomatoes
70,1,8.0,1,maize
70,1,8.0,2,
70,2,14.0,1,maize
70,3,0.2,1,maize
71,1,4.0,1,maize
71,2,4.0,1,tomatoes
127,1,1.0,1,maize
133,1,8.0,1,maize
133,1,8.0,2,vegetable
133,1,8.0,3,peanut
152,1,12.0,1,maize
152,1,12.0,2,sorghum
152,2,2.0,1,beans
152,2,2.0,2,tomatoes
152,2,2.0,3,vegetable
153,1,1.0,1,maize
155,1,2.0,1,maize
155,2,1.0,1,other
178,1,4.0,1,maize
178,2,1.0,1,beans
178,2,1.0,2,vegetable
178,3,2.0,1,maize
177,1,2.5,1,tomatoes
177,1,2.5,2,onion
177,1,2.5,3,vegetable
177,2,4.8,1,maize
180,1,6.0,1,maize
180,1,6.0,2,sorghum
180,2,1.0,1,tomatoes
181,1,3.0,1,maize
181,1,3.0,2,tomatoes
181,1,3.0,3,vegetable
182,1,5.0,1,maize
182,1,5.0,2,beans
182,1,5.0,3,bananas
182,1,5.0,4,tomatoes
182,1,5.0,5,vegetable
186,1,2.0,1,maize
186,1,2.0,2,beans
186,1,2.0,3,tomatoes
186,1,2.0,4,vegetable
187,1,3.0,1,beans
187,1,3.0,2,tomatoes
187,1,3.0,3,vegetable
187,2,2.0,1,maize
195,1,2.0,1,maize
195,2,0.5,1,tomatoes
195,3,1.0,1,beans
196,1,6.0,1,maize
196,2,1.5,1,tomatoes
196,2,1.5,2,vegetable
197,1,6.5,1,maize
197,2,3.0,1,beans
197,2,3.0,2,tomatoes
197,2,3.0,3,vegetable
198,1,2.0,1,maize
198,2,1.0,1,other
201,1,6.0,1,maize
201,2,2.0,1,maize
202,1,3.0,1,maize
202,2,0.5,1,tomatoes
72,1,2.0,1,maize
72,2,3.0,1,maize
72,3,1.5,1,tomatoes
73,1,0.5,1,tomatoes
73,2,3.0,1,maize
73,3,0.5,1,beans
76,1,6.0,1,maize
76,2,6.0,1,sorghum
76,3,6.0,1,peanut
76,4,3.0,1,cabbage
76,5,3.0,1,tomatoes
76,6,3.0,1,vegetable
83,1,5.0,1,maize
83,2,0.5,1,maize
83,2,0.5,2,other
85,1,1.0,1,maize
85,2,1.5,1,beans
85,2,1.5,2,
85,3,3.0,1,tomatoes
89,1,1.5,1,maize
89,2,3.0,1,maize
89,2,3.0,2,beans
89,2,3.0,3,vegetable
89,2,3.0,4,other
101,1,4.0,1,maize
101,2,3.0,1,beans
101,2,3.0,2,tomatoes
103,1,12.5,1,maize
103,1,12.5,2,sorghum
103,2,1.0,1,beans
103,2,1.0,2,bananas
103,2,1.0,3,vegetable
103,2,1.0,4,other
102,1,5.0,1,maize
102,2,2.0,1,tomatoes
102,2,2.0,2,onion
78,1,12.0,1,maize
78,2,1.0,1,maize
78,2,1.0,2,beans
78,2,1.0,3,tomatoes
78,2,1.0,4,onion
80,1,3.0,1,maize
80,1,3.0,2,sorghum
80,1,3.0,3,tomatoes
80,1,3.0,4,onion
80,1,3.0,5,vegetable
104,1,5.0,1,maize
104,1,5.0,2,sorghum
104,2,2.0,1,beans
104,2,2.0,2,tomatoes
104,3,0.5,1,beans
104,3,0.5,2,tomatoes
104,3,0.5,3,vegetable
104,4,1.0,1,tomatoes
104,4,1.0,2,baby_corn
105,1,3.0,1,maize
105,2,1.0,1,tomatoes
105,2,1.0,2,vegetable
106,1,22.0,1,baby_corn
106,2,16.0,1,piri_piri
106,3,4.0,1,maize
106,4,1.0,1,cabbage
106,5,2.0,1,tomatoes
109,1,5.0,1,maize
109,2,0.5,1,pigeonpeas
109,3,6.0,1,sorghum
110,1,6.0,1,maize
110,2,5.0,1,maize
110,3,3.0,1,maize
113,1,1.0,1,maize
113,2,1.0,1,beans
113,2,1.0,2,onion
113,3,0.5,1,other
118,1,3.0,1,maize
125,1,1.0,1,maize
125,2,0.5,1,beans
125,3,3.5,1,tomatoes
125,3,3.5,2,onion
125,3,3.5,3,vegetable
125,3,3.5,4,cucumber
119,1,2.0,1,maize
119,1,2.0,2,potatoes
119,2,0.5,1,maize
115,1,8.0,1,maize
115,2,3.0,1,maize
108,1,2.0,1,maize
108,1,2.0,2,sorghum
108,2,2.0,1,maize
108,3,1.5,1,vegetable
116,1,5.0,1,maize
117,1,12.0,1,maize
144,1,6.0,1,maize
144,2,1.0,1,tomatoes
143,1,4.0,1,maize
143,2,4.0,1,maize
143,3,5.5,1,beans
143,3,5.5,2,tomatoes
143,3,5.5,3,piri_piri
150,1,2.0,1,maize
150,2,0.5,1,other
159,1,2.5,1,maize
159,2,0.5,1,sorghum
160,1,2.0,1,maize
160,2,2.0,1,beans
160,3,1.5,1,tomatoes
165,1,1.0,1,maize
165,2,0.5,1,beans
166,1,0.5,1,tomatoes
166,2,1.0,1,maize
166,3,2.0,1,maize
167,1,1.5,1,maize
167,2,0.5,1,tomatoes
174,1,7.0,1,maize
174,2,3.0,1,tomatoes
174,3,1.0,1,tomatoes
175,1,2.0,1,maize
175,2,1.0,1,tomatoes
175,2,1.0,2,vegetable
189,1,7.0,1,maize
189,2,3.0,1,piri_piri
189,3,3.0,1,baby_corn
191,1,1.0,1,tomatoes
191,2,5.0,1,maize
192,1,0.5,1,tomatoes
192,2,0.5,1,maize
192,3,0.5,1,baby_corn
126,1,4.5,1,maize
126,1,4.5,2,beans
126,1,4.5,3,peanut
126,2,1.0,1,tomatoes
193,1,3.0,1,maize
193,2,2.5,1,tomatoes
193,3,0.5,1,cabbage
193,4,1.5,1,maize
194,1,5.0,1,maize
194,2,0.5,1,tomatoes
199,1,5.0,1,maize
199,2,1.0,1,vegetable
200,1,0.5,1,maize
200,2,4.5,1,maize
